feature,importance
Age,0.38667490213897887
NumOfProducts,0.28392519416236256
product_engagement,0.1031574539059606
Balance,0.0628654641172198
Geography_Germany,0.05866894007140404
balance_salary_ratio,0.02471258994982125
IsActiveMember,0.021700171988948653
CreditScore,0.01709032378454517
EstimatedSalary,0.013362041223290922
Gender_Male,0.013282241949214596
age_tenure_interaction,0.011320558680886715
zero_balance_flag,0.001300471445970891
Geography_Spain,0.0010645873173398645
HasCrCard,0.0006449412841334292
Tenure,0.00023011797992268052
